timestamp, power.draw [W]
2022/11/21 17:02:21.383, 41.87 W
2022/11/21 17:02:21.395, 41.87 W
2022/11/21 17:02:21.410, 41.87 W
2022/11/21 17:02:21.423, 41.87 W
2022/11/21 17:02:21.436, 41.67 W
2022/11/21 17:02:21.451, 41.67 W
2022/11/21 17:02:21.464, 41.67 W
2022/11/21 17:02:21.476, 41.67 W
2022/11/21 17:02:21.491, 41.67 W
2022/11/21 17:02:21.503, 41.67 W
2022/11/21 17:02:21.516, 41.67 W
2022/11/21 17:02:21.531, 41.67 W
2022/11/21 17:02:21.544, 41.87 W
2022/11/21 17:02:21.556, 41.87 W
2022/11/21 17:02:21.571, 41.87 W
2022/11/21 17:02:21.584, 41.87 W
2022/11/21 17:02:21.597, 41.87 W
2022/11/21 17:02:21.612, 41.87 W
2022/11/21 17:02:21.624, 41.87 W
2022/11/21 17:02:21.637, 41.67 W
2022/11/21 17:02:21.653, 41.67 W
2022/11/21 17:02:21.666, 41.67 W
2022/11/21 17:02:21.679, 41.67 W
2022/11/21 17:02:21.692, 41.67 W
2022/11/21 17:02:21.705, 41.67 W
2022/11/21 17:02:21.718, 41.67 W
2022/11/21 17:02:21.732, 41.67 W
2022/11/21 17:02:21.745, 41.76 W
2022/11/21 17:02:21.758, 41.76 W
2022/11/21 17:02:21.773, 41.76 W
2022/11/21 17:02:21.785, 41.76 W
2022/11/21 17:02:21.798, 41.76 W
2022/11/21 17:02:21.813, 41.76 W
2022/11/21 17:02:21.825, 41.76 W
2022/11/21 17:02:21.838, 41.67 W
2022/11/21 17:02:21.854, 41.67 W
2022/11/21 17:02:21.866, 41.67 W
2022/11/21 17:02:21.879, 41.67 W
2022/11/21 17:02:21.893, 41.67 W
2022/11/21 17:02:21.906, 41.67 W
2022/11/21 17:02:21.919, 41.67 W
2022/11/21 17:02:21.933, 41.67 W
2022/11/21 17:02:21.946, 41.87 W
2022/11/21 17:02:21.959, 41.87 W
2022/11/21 17:02:21.974, 41.87 W
2022/11/21 17:02:21.986, 41.87 W
2022/11/21 17:02:21.999, 41.87 W
2022/11/21 17:02:22.014, 41.87 W
2022/11/21 17:02:22.027, 41.87 W
2022/11/21 17:02:22.039, 41.67 W
2022/11/21 17:02:22.055, 41.67 W
2022/11/21 17:02:22.067, 41.67 W
2022/11/21 17:02:22.080, 41.67 W
2022/11/21 17:02:22.094, 41.67 W
2022/11/21 17:02:22.107, 41.67 W
2022/11/21 17:02:22.120, 41.67 W
2022/11/21 17:02:22.134, 41.67 W
2022/11/21 17:02:22.147, 41.77 W
2022/11/21 17:02:22.160, 41.77 W
2022/11/21 17:02:22.175, 41.77 W
2022/11/21 17:02:22.188, 41.77 W
2022/11/21 17:02:22.200, 41.77 W
2022/11/21 17:02:22.215, 41.77 W
2022/11/21 17:02:22.228, 41.77 W
2022/11/21 17:02:22.240, 41.66 W
2022/11/21 17:02:22.256, 41.66 W
2022/11/21 17:02:22.268, 41.66 W
2022/11/21 17:02:22.281, 41.66 W
2022/11/21 17:02:22.296, 41.66 W
2022/11/21 17:02:22.308, 41.66 W
2022/11/21 17:02:22.321, 41.66 W
2022/11/21 17:02:22.336, 41.66 W
2022/11/21 17:02:22.348, 41.77 W
2022/11/21 17:02:22.361, 41.77 W
2022/11/21 17:02:22.376, 41.77 W
2022/11/21 17:02:22.389, 41.77 W
2022/11/21 17:02:22.402, 41.77 W
2022/11/21 17:02:22.417, 41.77 W
2022/11/21 17:02:22.429, 41.77 W
2022/11/21 17:02:22.442, 41.67 W
2022/11/21 17:02:22.457, 41.67 W
2022/11/21 17:02:22.470, 41.67 W
2022/11/21 17:02:22.483, 41.67 W
2022/11/21 17:02:22.497, 41.67 W
2022/11/21 17:02:22.510, 41.67 W
2022/11/21 17:02:22.523, 41.67 W
2022/11/21 17:02:22.537, 41.67 W
2022/11/21 17:02:22.550, 41.87 W
2022/11/21 17:02:22.563, 41.87 W
2022/11/21 17:02:22.578, 41.87 W
2022/11/21 17:02:22.591, 41.87 W
