timestamp, power.draw [W]
2022/11/17 15:56:15.670, 82.32 W
2022/11/17 15:56:15.803, 82.15 W
2022/11/17 15:56:15.913, 82.22 W
2022/11/17 15:56:16.038, 82.22 W
2022/11/17 15:56:16.161, 82.33 W
2022/11/17 15:56:16.286, 82.22 W
2022/11/17 15:56:16.425, 82.12 W
2022/11/17 15:56:16.541, 82.15 W
2022/11/17 15:56:16.663, 82.15 W
2022/11/17 15:56:16.787, 81.93 W
2022/11/17 15:56:16.908, 81.73 W
2022/11/17 15:56:17.039, 81.33 W
2022/11/17 15:56:17.161, 80.75 W
2022/11/17 15:56:17.285, 80.37 W
2022/11/17 15:56:17.408, 80.18 W
2022/11/17 15:56:17.520, 78.98 W
2022/11/17 15:56:17.660, 77.81 W
2022/11/17 15:56:17.775, 76.91 W
2022/11/17 15:56:17.882, 76.62 W
2022/11/17 15:56:17.995, 76.34 W
2022/11/17 15:56:18.104, 75.56 W
2022/11/17 15:56:18.206, 67.27 W
2022/11/17 15:56:18.308, 66.87 W
2022/11/17 15:56:18.411, 66.78 W
2022/11/17 15:56:18.515, 66.87 W
2022/11/17 15:56:18.618, 66.87 W
2022/11/17 15:56:18.720, 66.78 W
2022/11/17 15:56:18.838, 69.93 W
2022/11/17 15:56:19.018, 66.81 W
2022/11/17 15:56:19.120, 66.78 W
2022/11/17 15:56:19.224, 70.83 W
2022/11/17 15:56:19.327, 70.93 W
2022/11/17 15:56:19.430, 70.83 W
2022/11/17 15:56:19.534, 71.12 W
2022/11/17 15:56:19.637, 70.93 W
2022/11/17 15:56:19.743, 70.93 W
2022/11/17 15:56:19.860, 71.03 W
2022/11/17 15:56:19.964, 66.72 W
